Actual Estimated
0.8026152849197388 0.8093488899040227
0.8532963395118713 0.8623403343159441
0.9290437698364258 0.9391875017487641
0.8887035250663757 0.8789575184623262
0.8511444330215454 0.8403313389154201
0.873439610004425 0.867960663275527
0.9091131091117859 0.9108718505344937
0.9007431268692017 0.9060880427965179
0.9330943822860718 0.9381842590482862
0.9238452911376953 0.9416088709373455
0.8527354598045349 0.8748293173321351
0.853367805480957 0.8610604541127114
0.9511206150054932 0.9521023203191014
0.9193481802940369 0.9301558105502498
0.8466083407402039 0.8738466488069501
0.8988814353942871 0.9178113956793901
0.9030571579933167 0.9043732824471329
0.9249356985092163 0.9198920440404216
0.898622989654541 0.899901746380392
0.9295006990432739 0.9585025940925883
0.9326050877571106 0.9508804572110818
0.8585662245750427 0.8622815732535576
0.9170263409614563 0.8970242044458738
0.9127472639083862 0.9070610985343176
0.8804025053977966 0.890006131064947
0.9564961194992065 0.9743175501342858
0.9364389181137085 0.9713193220081063
0.8278767466545105 0.8133213376052577
0.9128423929214478 0.9289022028726969
0.8095445036888123 0.8135448357690441
0.8822790384292603 0.8854743301306988
0.9044576287269592 0.9068100632102508
0.9199578166007996 0.9527767411476054
0.8429598212242126 0.8811954974669002
0.9453946352005005 0.9702555837418284
0.9046785831451416 0.9309544273139327
0.9303081035614014 0.9561752120290976
0.9252804517745972 0.9528197659341796
0.8905729055404663 0.8846214832664845
0.9460271000862122 0.961916851648742
0.8753668665885925 0.894705724367735
0.8950408697128296 0.9305259437071005
0.9188897609710693 0.9239487937112741
0.944308876991272 0.9565588697811901
0.9116501808166504 0.9045043569665931
0.9266735315322876 0.926068125455414
0.7305389642715454 0.7695954060197592
0.8667398691177368 0.8742586622352853
0.9324392676353455 0.9487136523604631
0.7536149024963379 0.7521754452206174
0.9205853343009949 0.9289574622151833
0.9046186804771423 0.9124446220879434
0.8585892915725708 0.8369028616544046
0.9417092800140381 0.9485785169935032
0.8337472677230835 0.8167749866136604
0.8634321093559265 0.8732308189711191
0.9465017318725586 0.9577861344071368
0.924589216709137 0.939116798307885
0.8627436757087708 0.8439280685495643
0.8860793709754944 0.8862083535968923
0.8353439569473267 0.8424315133174283
0.89286208152771 0.9270705347609184
0.8816433548927307 0.9017270133641146
0.9207953810691833 0.9158400748890267
0.9156697392463684 0.9231795155192326
0.8872721195220947 0.9011430443886217
0.7895610332489014 0.8207587513996749
0.8754608035087585 0.8811606005517371
0.8326910138130188 0.8585993689925783
0.9088346362113953 0.9100424404225201
0.916138768196106 0.8886218368007659
0.8827829957008362 0.9043685440235754
0.8369503617286682 0.8572566066808343
0.906740128993988 0.9136149879341426
0.8685329556465149 0.8683435982635015
0.8698237538337708 0.9039852718660473
0.8644169569015503 0.8824242838613776
0.8942845463752747 0.9091879486674534
0.8892147541046143 0.8870345419635143
0.8467568159103394 0.8651773073014779
0.885004460811615 0.8912521386549835
0.8829306960105896 0.8973002836932766
0.9255735874176025 0.9390246195758871
0.9124318957328796 0.9340166800554135
0.944585919380188 0.9545461075263816
0.9037773609161377 0.9268724393914736
0.7698138356208801 0.7569866447308435
0.8918965458869934 0.9054595170050558
0.8957414627075195 0.9161721706463959
0.8352010250091553 0.8384525601012582
0.930401086807251 0.9383091046615384
0.9144418239593506 0.9390776291913919
0.8886871933937073 0.9105080610923137
0.9229286909103394 0.9201625361457202
0.9044713377952576 0.9158216488746959
0.9286477565765381 0.9272008866560864
0.8945828080177307 0.9123676001670104
0.8800233006477356 0.8683906198768685
0.9009408354759216 0.9310820958978183
0.9402219653129578 0.9379351142989787
